Filename,Error Type,Detail
"fas-skiing.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -75.1) to (380.7, 391.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-sleigh.svg","VIEWBOX_MISMATCH","Path coordinates (-185.6, -102.9) to (640.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-smoking.svg","VIEWBOX_MISMATCH","Path coordinates (-101.8, -64.0) to (576.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-snowboarding.svg","VIEWBOX_MISMATCH","Path coordinates (-72.1, -96.0) to (472.0, 443.8) extend outside viewBox (0, 0) to (15, 15)"
"fas-solar-panel.svg","VIEWBOX_MISMATCH","Path coordinates (-256.0, -169.4) to (569.0, 574.5) extend outside viewBox (0, 0) to (15, 15)"
"fas-sort-alpha-up.svg","VIEWBOX_MISMATCH","Path coordinates (-128.0, -96.0) to (448.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-spa.svg","VIEWBOX_MISMATCH","Path coordinates (-97.9, -164.6) to (546.0, 576.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-space-shuttle.svg","VIEWBOX_MISMATCH","Path coordinates (-224.0, -96.0) to (591.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-spoon.svg","VIEWBOX_MISMATCH","Path coordinates (-160.2, -60.8) to (416.0, 502.6) extend outside viewBox (0, 0) to (15, 15)"
"fas-stamp.svg","VIEWBOX_MISMATCH","Path coordinates (-112.0, -112.0) to (432.0, 464.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-store-alt-slash.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -50.4) to (603.2, 558.2) extend outside viewBox (0, 0) to (15, 15)"
"fas-store.svg","VIEWBOX_MISMATCH","Path coordinates (-352.0, -151.2) to (344.0, 352.0) extend outside viewBox (0, 0) to (512, 512)"
"fas-suitcase-rolling.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (288.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-suitcase.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (480.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-swimmer.svg","VIEWBOX_MISMATCH","Path coordinates (-94.5, -38.4) to (449.5, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-swimming-pool.svg","VIEWBOX_MISMATCH","Path coordinates (-59.2, -94.5) to (480.0, 479.7) extend outside viewBox (0, 0) to (15, 15)"
"fas-synagogue.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -70.9) to (512.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-table-tennis.svg","VIEWBOX_MISMATCH","Path coordinates (-114.6, -192.0) to (535.8, 392.7) extend outside viewBox (0, 0) to (15, 15)"
"fas-tachometer-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (366.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tags.svg","VIEWBOX_MISMATCH","Path coordinates (-168.0, -168.0) to (472.8, 472.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-tape.svg","VIEWBOX_MISMATCH","Path coordinates (-32.0, -192.0) to (544.0, 480.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-taxi.svg","VIEWBOX_MISMATCH","Path coordinates (-85.2, -85.2) to (437.2, 432.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-teeth.svg","VIEWBOX_MISMATCH","Path coordinates (-96.0, -176.0) to (480.0, 384.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-th-list.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (448.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-th.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (416.0, 448.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-thermometer-three-quarters.svg","VIEWBOX_MISMATCH","Path coordinates (-88.1, -144.0) to (447.5, 368.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-ticket-alt.svg","VIEWBOX_MISMATCH","Path coordinates (-64.0, -64.0) to (541.5, 256.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tint-slash.svg","VIEWBOX_MISMATCH","Path coordinates (-298.3, -308.3) to (505.2, 592.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tint.svg","VIEWBOX_MISMATCH","Path coordinates (-35.8, -192.0) to (336.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-toilet.svg","VIEWBOX_MISMATCH","Path coordinates (-126.9, -26.4) to (384.0, 469.9) extend outside viewBox (0, 0) to (15, 15)"
"fas-tools.svg","VIEWBOX_MISMATCH","Path coordinates (-112.0, -130.5) to (512.0, 512.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tractor.svg","VIEWBOX_MISMATCH","Path coordinates (-160.0, -88.0) to (480.0, 528.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-tram.svg","VIEWBOX_MISMATCH","Path coordinates (-203.1, -64.0) to (448.0, 416.0) extend outside viewBox (0, 0) to (15, 15)"
"fas-trash-restore.svg","VIEWBOX_MISMATCH","Path coordinates (-80.0, -80.0) to (467.0, 394.8) extend outside viewBox (0, 0) to (15, 15)"
